sep=,
year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage"
1936,2,1693,,,,,
1951,1,44,,,,,
1953,3,669,,,,,
1955,1,107,,,,,
1958,1,651,,,,,
1962,1,50,,,,,
1965,1,100,,,,,
1966,2,262,,,,,
1968,2,153,,,,,
1972,2,110,,,,,
1973,1,22,,,,,
1975,2,70,,,,,
1978,1,150,,,,,
1979,3,470,,,,,
1980,2,1310,,,,,2000000
1983,2,205,,2700,,2700,
1985,2,123,,,,,
1986,1,48,,,,,1750000
1987,4,1180,10,,,10,
1988,4,544,200,,,200,
1990,4,436,,,,,
1991,1,523,,250,,250,
1993,2,65,500,3000000,,3000500,
1994,5,270,184,1100000,,1100184,
1995,6,1311,170,500000,,500170,
1996,3,70,200,,,200,
1997,2,116,,180,,180,
1998,5,2753,100,,,100,4275000
1999,4,440,,,,,1000000
2000,13,165,1258,,,1258,244859
2001,3,332,,,,,200000
2002,5,1224,3524,,,3524,
2003,19,73722,,,,,12520000
2004,7,133,413,,,413,
2005,7,943,931,,,931,
2006,11,3737,300,,,300,
2007,15,701,3139,352,,3491,
2008,1,47,,,,,
2009,3,483,2025,,,2025,
2010,4,56188,,15000,,15000,400000
2011,3,68,22000,,,22000,
2012,1,123,,,,,
2013,5,1713,54000,17490,,71490,
2014,3,305,17000,,,17000,18000
2015,9,7327,14933,80000,,94933,
2016,3,314,510,,,510,
2017,2,38,,,,,


"Created on: September 14, 2017"
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium"